jenis_kendaraan,nama_perusahaan,jumlah_unit 
TRANSJAKARTA,Damri,46.0
TRANSJAKARTA,Mayasari Bakti,293.0
TRANSJAKARTA,PPD,509.0
TRANSJAKARTA,Pahala Kencana,14.0
TRANSJAKARTA,Steady Safe,116.0
TRANSJAKARTA,BMP Amari,70.0
TRANSJAKARTA,Transwadaya,80.0
TRANSJAKARTA,Kopaja,168.0
Mikrolet,KOLAMAS JAYA,336.0
Mikrolet,KOMIKA JAYA,39.0
Mikrolet,KOMILET JAYA,849.0
Mikrolet,KOPAMILET JAYA,636.0
Mikrolet,KOPERASI BUDI LUHUR,202.0
Mikrolet,KOPERASI PURIMAS JAYA,293.0
Mikrolet,PT KENCANA SAKTI TRANSPORT,26.0
Mikrolet,PT LESTARISURYA GEMAPERSADA,131.0
Mikrolet,PUSAT KOPERASI ANGKUTAN UDARA,93.0
APB,KOLAMAS JAYA,171.0
APB,KOMIKA JAYA,200.0
APB,KOMILET JAYA,44.0
APB,KOPAMILET JAYA,2.0
APB,KOPERASI BUDI LUHUR,113.0
APB,KOPERASI PURIMAS JAYA,47.0
KWK,KOPERASI WAHANA KALPIKA,2042.0
Metromini,PT. METRO MINI,7.0
